รหัสสินค้า,ชื่อสินค้า,ราคา
1190001,3M CAVILON DURABLE CREAM 28G,261.00
1190002,3M CAVILON DURABLE CREAM 92G,559.00
1190003,3M CAVILON NO STING FILM SPRAY 28ML,654.00
1190004,3M CAVILON NO-RINSE SKIN CLEANSER 236ML,456.00
1190006,ACCU-CHEK ACTIVE SET,990.00
1190007,ACCU-CHEK ACTIVE STRIP 25'S,424.00
1190009,ACCU-CHEK FASTCLIX 24'S (GUIDE) เข็ม,88.00
1190010,ACCU-CHEK GUIDE SET (WIRELESS),2170.00
1190012,ACCU-CHEK GUIDE STRIP 25'S,444.00
1190014,ACCU-CHEK INSTANT STRIP 25'S,429.00
1190017,ACCU-CHEK SOFTCLIX LANCETS 200'S เข็ม,530.00
1190018,ACCU-CHEK SOFTCLIX 25'S เข็ม,81.00
1190019,ACCU-CHEK SOFTCLIX PEN+LANCETS 25'S,545.00
1190020,ALCON NAPHCON-A 15ML,92.00
1190022,ALCON TEARS NATURALE FREE 0.03OZx32'S,315.00
1190023,DURATEARS 3.5G,107.00
1190024,GENTEAL GEL 10G,162.00
1190026,SYSTANE ULTRA E/D 10ML,153.00
1190027,SYSTANE ULTRA UD 0.5MLx28'S,322.00
1190028,VITALUX PLUS 30'S,303.00
1190029,PRED FORTE 1% 5ML,88.00
1190033,CELLUFRESH UD 0.4ML 30TUB,252.00
1190034,COMBIGAN ED 5ML (ALLERGAN),405.00
1190036,FML LIQUIFILM 5ML,87.00
1190037,LUMIGAN EYE DROP 0.01% 3ML,387.00
1190038,RELESTAT 5ML (ALLERGAN),282.00
1190040,CRESTOR 10MG 2x14'S,1065.00
1190041,CRESTOR 20MG 2x14'S,1590.00
1190042,FORXIGA 10MG 3x10'S (BLISTER),1550.00
1190044,SYMBICORT TURBU 160/4.5 120D,1160.00
1190045,SYMBICORT TURBU 160/4.5 60D,795.00
1190049,NEXIUM 20MG 2x7'S,540.00
1190050,NEXIUM 40MG 2x7'S,760.00
1190051,PLENDIL 10MG 30'S,507.00
1190053,PLENDIL 5MG 30'S,362.00
1190056,ZESTRIL 10MG 2x14'S,374.00
1190057,NAPROSYN LE 250MG 10x10'S,750.00
1190058,SYNFLEX 275MG 10x6'S,575.00
1190061,CYBELE SCAGEL 9G,145.00
1190063,CYBELE SCAGEL KIDS 9G,142.00
1190065,ACTEWOUND 4x6CM 2'S,141.00
1190066,ACTEWOUND 7x15CM 1PCS,285.00
1190069,SOS THERMOMETER DIGITAL (BLUE),84.00
1190070,"SOS ผ้าก๊อซ S SERIES 2x2"" (8x8CM) 4'S",31.00
1190071,"SOS ผ้าก๊อซ S SERIES 2x4"" (9x15CM) 3'S",55.00
1190072,"SOS ผ้าก๊อซ S SERIES 3x3"" (12x12CM) 3'S",35.75
1190073,"SOS ผ้าก๊อซ S2 1.25x1.5"" (6x7CM) 5'S",27.00
1190074,"SOS ผ้าก๊อซ S3 1.25x2.75"" (6x10CM) 4'S",29.50
1190076,"SOS ผ้าก๊อซ S SERIES 2x6"" (10x20CM) 2'S",54.00
1190077,SOS ผ้าก๊อซ S1-B (3x7CM) 10'S,22.00
1190078,"SOS พลาสเตอร์กันน้ำ T SERIES 2x2"" (8x8CM) 3'S",31.00
1190079,"SOS พลาสเตอร์กันน้ำ T SERIES 2x4"" (9x15CM) 2'S",53.00
1190080,"SOS พลาสเตอร์กันน้ำ T SERIES 2x6"" (10x20CM) 2'S",68.00
1190081,SOS พลาสเตอร์กันน้ำ T1 (2.5x5.6CM) 10'S,21.00
1190082,"SOS พลาสเตอร์กันน้ำ T2 1.25x1.5"" (6x7CM) 3'S",26.00
1190083,"SOS พลาสเตอร์กันน้ำ T3 1.25x2.75"" (6x10CM) 2'S",29.50
1190084,"SOS พลาสเตอร์กันน้ำ T4 2x7.75""(10x25CM) 2'S",80.00
1190085,SOS พลาสเตอร์ปิดแผล P1 KITTY (KTM01) 8'S,14.00
1190088,BEPANTHEN FIRST AID 30G,128.00
1190089,BEPANTHEN OINTMENT 30G,135.00
1190090,BEPANTHEN OINTMENT 50G,192.00
1190091,BEPANTHEN SENSIDERM CREAM 20G,280.00
1190092,BEROCCA FRUITY FLAVOUR 15'S,171.00
1190093,BEROCCA ORANGE FLAVOUR 15'S,171.00
1190094,CANESTEN CREAM 10G,83.00
1190095,CANESTEN CREAM 20G,142.00
1190096,CANESTEN O.D. CREAM 10G,139.00
1190098,CANESTEN VT.0.5G 1'S,168.00
1190099,CDR 15'S (ORANGE),119.00
1190100,CDR FORTOS 10'S (เม็ดฟู่),122.00
1190101,CLARITYNE 10MG 1x10'S,131.00
1190103,GARAMYCIN CREAM 0.1% 15G,102.00
1190106,VAPEX 14CC (L),64.00
1190107,VAPEX 2IN1 12x1PCS,235.00
1190108,VAPEX 5CC (S),29.50
1190109,ZAMBUK 36G,63.00
1190110,ZAMBUK HR 24x18G (M),36.00
1190111,ZAMBUK HR 48x8G (S),24.00
1190112,ANDROCUR 50MG 5x10'S,586.00
1190113,AVELOX 400MG 5'S,562.00
1190114,CIPROBAY 500MG 3x10'S,1930.00
1190116,CYCLO-PROGYNOVA 21'S,165.00
1190118,MICROGYNON 30 ED 28'S,54.00
1190120,PROGYNOVA 1MG 3x28'S,475.00
1190121,PROGYNOVA 2MG 3x28'S,493.00
1190123,DIANE 35 21'S,162.00
1190126,YASMIN 21'S,339.00
1190127,YAZ 28'S,376.00
1190128,EUCERIN ANTI-DANDRUFF GEL SHAMPOO 250ML,414.00
1190130,EUCERIN BABY WASH SHAMPOO 400ML,449.00
1190131,EUCERIN DERMO CAPILLAIRE MILD SHAMPOO 250ML,297.00
1190145,EUCERIN LIP ACTIVE 4.8G,214.00
1190148,EUCERIN PH5 HYDRO SERUM 400ML,425.00
1190149,EUCERIN PH5 LOTION SENSITIVE 250ML,267.00
1190150,EUCERIN PH5 LOTION SENSITIVE 400ML,422.00
1190151,EUCERIN PH5 LOTION-F SKIN 400ML,426.00
1190152,EUCERIN PH5 SENSITIVE FACIAL CLEANSER 400ML,442.00
1190154,EUCERIN PH5 SHOWER OIL 400ML,549.00
1190156,EUCERIN PH5 WASH LOTION 1000ML,627.00
1190158,EUCERIN PH5 WASH LOTION 400ML,294.00
1190159,EUCERIN PRO ACNE A.I. MATT FLUID 50ML,742.00
1190161,EUCERIN PRO ACNE A.I. TREATMENT 40ML,824.00
1190171,EUCERIN SUN DRY TOUCH BODY SPF50 200ML,1040.00
1190176,EUCERIN SUN DRY TOUCH ACNE OIL CONTROL 50ML,1046.00
1190178,EUCERIN SUN HYDRO ULTRA-LIGHT FLUID SPF50 50ML,897.00
1190179,EUCERIN SUN FACE SPF50 CREAM 50ML,970.00
1190181,EUCERIN SUN SERUM AGE REPAIR 50ML,1046.00
1190183,EUCERIN THINNING HAIR SHAMPOO 250ML,412.00
1190184,EUCERIN ULTRA AQUA PORIN GEL CREAM 50ML,634.00
1190193,EUCERIN ULTRA Q10X NIGHT 50ML,1009.00
1190204,BLACKMORES ASTAXANTHIN 6MG PLUS 30'S,444.00
1190205,BLACKMORES BILBERRY 2500MG 60'S,455.00
1190210,BLACKMORES BIO-E 250IU 60'S,376.00
1190211,BLACKMORES BIO-E 500IU 60'S,588.00
1190213,BLACKMORES BIOTIN H+ 60'S,532.00
1190215,BLACKMORES BUFFERED-C 500MG 200'S,777.00
1190216,BLACKMORES BUFFERED-C 500MG 31'S,148.00
1190217,BLACKMORES BUFFERED-C 500MG 75'S,322.00
1190218,BLACKMORES BIO CALCIUM+D3 500MG 120'S,455.00
1190221,BLACKMORES CO-Q10 30'S,549.00
1190222,BLACKMORES CRANBERRY 15000+C 60'S,424.00
1190223,BLACKMORES ECHINACEA FORTE 60'S,422.00
1190224,BLACKMORES EVENING PRIMROSE OIL1000MG 60'S,415.00
1190225,BLACKMORES EXEC-B 120'S,654.00
1190226,BLACKMORES EXEC-B 60'S,364.00
1190227,BLACKMORES FISH OIL 1000MG 2x80'S (VALUE PACK),694.00
1190228,BLACKMORES FISH OIL1000MG 80'S,388.00
1190230,BLACKMORES GINKGO 30'S,255.00
1190231,BLACKMORES GLUCOSAMINE 500MG 90'S,770.00
1190232,BLACKMORES GRAPE SEED FORTE 12000MG 30'S,492.00
1190233,BLACKMORES HYPERIFORTE 30'S,327.00
1190236,BLACKMORES LECITHIN 1200MG 100'S,344.00
1190237,BLACKMORES LIQUID ECHINACEA 50ML,385.00
1190238,BLACKMORES LUTEIN-VIS 60'S,559.00
1190243,BLACKMORES MULTI ACTIVE 30TAB,247.00
1190245,BLACKMORES MULTI-B 120'S,507.00
1190246,BLACKMORES MULTI-B 60'S,322.00
1190251,BLACKMORES OMEGA DHA 60'S,714.00
1190258,BSN EASIFIX 2.5CMx2M (ผ้าพันแผลกาวในตัว),57.00
1190259,BSN EASIFIX 4CMx2M (ผ้าพันแผลกาวในตัว),67.00
1190260,BSN FIXOMULL STRETCH 10CMx10M,440.00
1190261,BSN FIXOMULL STRETCH 10CMx2M,79.00
1190262,BSN FIXOMULL STRETCH 5CMx10M,199.00
1190263,DILATREND 12.5MG 10x10'S (BLUE),2200.00
1190264,DILATREND 25MG 10x10'S (VIOLET),2400.00
1190265,DILATREND 6.25MG 10x10'S (GREEN),1780.00
