ชื่อสินค้า,ราคา
ยาน้ำมันเลียงผา ตราแม่กุหลาบ 12X3ml/โหล,ราคา 228.00 บาท
COMFY Lozenge 10X8's/กล่อง,ราคา 160.00 บาท
MEGA APPLE CIDER GUMMYZ ห่อละ 2 ชิ้น 25 ห่อ/กล่อง,ราคา 432.00 บาท
ASTAIR 5 mg Chewable 4X7's (SPS),ราคา 312.00 บาท
NEUROTEX 5X10's (FRX),ราคา 142.00 บาท
VISTRA OMEGA CONCENTRARE X3 RTG 30's,ราคา 394.00 บาท
NEO-MUNE นีโอ-มูน กลิ่นข้าวญี่ปุ่น 400 g (OTSUKA),ราคา 418.00 บาท
RHINOCET (1X10's),ราคา 83.00 บาท
ACC Sandoz 600 mg Effervescent กลิ่นแบล็กเบอร์รี่ 10's (SANDOZ),ราคา 134.00 บาท
DERAREZ 1X21's (TNP),ราคา 234.00 บาท
VISTRA PRE-CARE MULTI PLUS 60's,ราคา 358.00 บาท
จี้กงแดน ลูกอมส้มมือ รสบ๊วย 40 g,ราคา 39.50 บาท
POSTMENOP 2 mg 30's (Exeltis),ราคา 175.00 บาท
GLIPTIN 100 mg 3X10's (POLIPHARM),ราคา 412.00 บาท
LIVTATIN 2 mg 10X10's (POLIPHARM),ราคา 650.00 บาท
POBALIN 75 mg 8X7's (POLIPHARM),ราคา 285.00 บาท
CLARIUS 5 mg 1X10's (POLIPHARM),ราคา 42.00 บาท
POLILERGY 5 mg 1X10's (POLIPHARM),ราคา 42.00 บาท
PROSTAT 1 mg 3X10's (POLIPHARM),ราคา 195.00 บาท
KUP 2X6 ซอง/กล่อง,ราคา 480.00 บาท
SOAP ดร.ชิน 100 g (NCR),ราคา 47.00 บาท
BREWERS YEAST 200's (GREATER),ราคา 110.00 บาท
ALCOHOL ALSOFT 180 ml ตราเสือดาว,ราคา 21.50 บาท
ขี้ผึ้งตราเก้าเอ 9A,ราคา 83.00 บาท
DENTISTE ยาสีฟัน 170 g,ราคา 310.00 บาท
FOLEY CATHETER No.18 สายปัสสาวะ 10 เส้น/กล่อง (Wellead),ราคา 170.00 บาท
SCAGEL CYBELE 50 g,ราคา 498.00 บาท
DICLOGESIC 25 mg 1000's (T.MAN),ราคา 120.00 บาท
FOLEY CATHETER No.16 สายปัสสาวะ 10 เส้น/กล่อง (Wellead),ราคา 170.00 บาท
SCAGEL CYBELE 9 g แพ็กสุดคุ้ม,ราคา 196.00 บาท
เพชรสังฆาต ขาวละออ 100's (KLO),ราคา 88.00 บาท
SENSIPLUS 100 ml (ANB),ราคา 37.50 บาท
AMK ES-600 Suspension 70 ml (RX),ราคา 355.00 บาท
PHARPROXIN 500 mg 10X10's/กล่อง (RX Chumchon),ราคา 285.00 บาท
เครื่องชั่งน้ำหนักดิจิตอล รุ่น EB4030H (2B),ราคา 625.00 บาท
CERAVE FACIAL MOISTURISING HYDRO UREA Lotion 52 ml,ราคา 462.00 บาท
ยาดมทูเวย์ จรุงจิต 1 โหล/กล่อง,ราคา 0.00 บาท
ยาหม่องอโรมาติกส์ ตราเฌอเอม,ราคา 0.00 บาท
CERAVE HYDRO UREA Lotion 473 ml,ราคา 665.00 บาท
BIOASTAMIN PLUS 30's (BIOPHARM),ราคา 410.00 บาท
บริษัท วรมิตร ดรัก เซ็นเตอร์ จำกัด,
ติดต่อเราได้ที่,
DUREX PLAY MASSAGE ALOE VERA 200 ml,ราคา 332.00 บาท
DUREX PLAY WARMING 100 ml,ราคา 230.00 บาท
DUREX PLAY สูตรฟินนาน สตรอเบอร์รี่ 100 ml,ราคา 232.00 บาท
SAND-M GUMMY FIBER รสมะขามเปรี้ยว 6 ซอง/กล่อง,ราคา 174.00 บาท
SOS Plus NSS NORMAL SALINE Solution แบบหยด 5 ml,ราคา 33.00 บาท
TERACORTE SKIN Cream 15 g (Macrophar),ราคา 58.00 บาท
ผ้ายืดพันแผล KSG CONFORMING BANDAGE 4 inch 12 ม้วน/กล่อง,ราคา 88.00 บาท
ผ้ายืดพันแผล KSG CONFORMING BANDAGE 3 inch 12 ม้วน/กล่อง,ราคา 68.00 บาท
ผ้ายืดพันแผล KSG CONFORMING BANDAGE 2 inch 12 ม้วน/กล่อง,ราคา 50.00 บาท
BOOST OPTIMUM กลิ่นธัญพืช 800 g (Nestle),ราคา 775.00 บาท
CERAVE OIL CONTROL MOISTURISING Gel Cream 52 ml,ราคา 465.00 บาท
CERAVE FACIAL MOISTURISING HYDRO UREA Lotion 52 ml,ราคา 462.00 บาท
CERAVE HYDRO UREA Lotion 473 ml,ราคา 665.00 บาท
ยาหม่องอโรมาติกส์ ตราเฌอเอม,ราคา 0.00 บาท
ยาดมทูเวย์ จรุงจิต 1 โหล/กล่อง,ราคา 0.00 บาท
BIOASTAMIN PLUS 30's (BIOPHARM),ราคา 410.00 บาท
SOS Plus ถุงหุ้มเฝือกกันน้ำ FM-081 สำหรับเท้า 1 ชิ้น/กล่อง,ราคา 125.00 บาท
CERAVE MOISTURISING Lotion 236 ml,ราคา 370.00 บาท
ชุดทดสอบสารเสพติดเมทแอมเฟตามีน ชนิดหยด MAG TEST 1 ชุด/กล่อง,ราคา 22.00 บาท
ชุดหน้ากากพ่นยาผู้ใหญ่ MASK M8-123-122S (2B),ราคา 26.00 บาท
ชุดหน้ากากพ่นยาเด็ก MASK M8-123-121S (2B),ราคา 45.00 บาท
ปลอกแขน CITIZEN 32-42 cm รุ่น CHU503,ราคา 725.00 บาท
MELOX 7.5 mg 10X10's/แพ็ก (SIAM),ราคา 430.00 บาท
M-SOFT UREA 20 g (MEDMAKER),ราคา 52.00 บาท
CARBOSOL (50X10's),ราคา 610.00 บาท
PHARMICA ICY Spray 200 ml,ราคา 146.00 บาท
น้ำมันเหลือง เวชพงศ์ 24 ml,ราคา 78.00 บาท
COLOSURE 800 g,ราคา 735.00 บาท
GLUCOSE T.P (50%) 50 ml,ราคา 23.00 บาท
ยาหม่องผสมเสลดพังพอน ตราเฌอเอม 65 g,ราคา 0.00 บาท
DOIZ 50 mg 1X10's (SIAM),ราคา 88.00 บาท
ตะขาบ 5 ตัว ยาดมทูเวย์ 12 หลอด/กล่อง,ราคา 195.00 บาท
ตะขาบ 5 ตัว ยาหม่องน้ำ 22 ml,ราคา 70.00 บาท
DIOXZYE กลิ่นส้ม 10X10's (TNP),ราคา 125.00 บาท
ผ้ายางสำหรับขวางที่นอน SP-PD00-7101 (TA),ราคา 95.00 บาท
DUREX แอรี่ 2 ชิ้น,ราคา 55.00 บาท
CAVILON NO STING BARRIER FILM 28 ml (3M),ราคา 675.00 บาท
JUMPER PULSE OXIMETER JPD-500E,ราคา 380.00 บาท
MASK หน้ากากอนามัยสีขาว ชนิดผ้าอย่างดี (Canton),ราคา 35.00 บาท
DICLOCILLIN 500 mg 25X10's (TO),ราคา 555.00 บาท
บริษัท วรมิตร ดรัก เซ็นเตอร์ จำกัด,
ติดต่อเราได้ที่,
STREPSIL MAXPRO 16's/กล่อง,ราคา 133.00 บาท
ABILIFY 2 mg 3X10's (OTSUKA),"ราคา 1,300.00 บาท"
VIVARINE Syrup 60 ml (TNP),ราคา 34.50 บาท
ATOZET 10/10mg 30's,"ราคา 1,865.00 บาท"
NEUROBION (6X10's),ราคา 286.00 บาท
GARUTO 1X10's (Macrophar),ราคา 16.00 บาท
MASAGA Cream 30 g,ราคา 17.00 บาท
KENYAI-I TABLETS 50X10's/กล่อง,ราคา 480.00 บาท
LEBREX 200 mg 10X10's/กล่อง,ราคา 410.00 บาท
EXTORANT Tablets 50X10's/กล่อง,ราคา 335.00 บาท
LARIK 75 mg 4X14's/กล่อง,ราคา 236.00 บาท
BIOKRILL 30's,ราคา 430.00 บาท
I-CETIN 25X10's (LBS),ราคา 577.00 บาท
IBUKIDS Suspension 60 ml (LBS),ราคา 17.00 บาท
ACETIN 200 mg 50X5g/กล่อง (LBS),ราคา 152.00 บาท
MEFEC 500 mg 25X10's (LBS),ราคา 263.00 บาท
G-PENTIN 300 mg 10X10's (LBS),ราคา 347.00 บาท
CAMBIC 7.5 mg 10X10's (LBS),ราคา 177.00 บาท
ACEVAX 400 mg 10X10's (LBS),ราคา 325.00 บาท
CLOMAZ Vaginal Tablets 1X6's (LBS),ราคา 21.00 บาท
MCXY KLEAR กล่อง 5X20ml/กล่อง (Millimed),ราคา 39.00 บาท
MCXY KLEAR 10X20ml/กล่อง (Millimed),ราคา 53.00 บาท
MAC-CALAC 100 ml (Macrophar),ราคา 78.00 บาท
BILAZ 1X10's (Macrophar),ราคา 75.00 บาท
ACEVAX 800 mg 5X10's (LBS),ราคา 285.00 บาท
GLUCOTRIL 1500 mg Powder 30 ซอง/กล่อง (Macrophar),ราคา 197.00 บาท
DIFAZT Gel 30 g (Macrophar),ราคา 29.00 บาท
TARACORTE SKIN Cram 15 g (Macrophar),ราคา 58.00 บาท
ITRA 100 mg 25X4's/กล่อง (Macrophar),ราคา 470.00 บาท
UMBILI ฉุนฉุน ผ้าสมุนไพร 4 ซอง/กล่อง (อัมบิลี่),ราคา 128.00 บาท
DUPHACARE 200 ml กลิ้นพลัม (Abbott),ราคา 0.00 บาท
SOS Plus SPORT TAPE (1 inch) 1 ม้วน/กล่อง,ราคา 32.00 บาท
SCAGEL ACNE Patch 20 ชิ้น/กล่อง,ราคา 34.00 บาท
SCAGEL ACNE Patch 12 ชิ้น/กล่อง,ราคา 27.00 บาท
SOS Plus แผ่นแปะซิลิโคนเคลียร์ (7x15cm) 1 ชิ้น/กล่อง,ราคา 285.00 บาท
SOS Plus แผ่นแปะซิลิโคน (2.5x100cm) 1 ม้วน/กล่อง,ราคา 360.00 บาท
TEMPRA COOLING PATCH 8 ซอง/กล่อง,ราคา 170.00 บาท
ไหมขัดฟัน Dr.PHILLIPS 50 ชิ้น/กล่อง,ราคา 28.00 บาท
CLINIBLU Suspension 60 ml (BKD),ราคา 25.00 บาท
POVIDINE 12X15ml/โหล,ราคา 110.00 บาท
บริษัท วรมิตร ดรัก เซ็นเตอร์ จำกัด,
ติดต่อเราได้ที่,
DIMENHYDRINATE 100X10's/กล่อง,ราคา 210.00 บาท
FACEN SOAP 75 g (วิทยาศรม),ราคา 51.00 บาท
LEFTOSE 30 mg 50X10's/กล่อง,ราคา 920.00 บาท
NEOBUN MENTHOL PLASTER พลาสเตอร์แผ่นใหญ่ 11x8cm 6ซองX3แผ่น/กล่อง,ราคา 112.00 บาท
NEOBUN MENTHOL PLASTER พลาสเตอร์แผ่นแปะหลัง 13x12cm 6ซองX2แผ่น/กล่อง,ราคา 220.00 บาท
ยาดมสมุนไพร สูตร 1 ตราวังพรม PACK 3 กระปุก,ราคา 25.00 บาท
C-20 BLUE SALLY Mouthwash 180 ml (OSi),ราคา 44.00 บาท
ALCOHOL ALSOFF-S 1000 ml ตราเสือดาว,ราคา 63.00 บาท
FAMOC 20 mg 10X10's (BERLIN),ราคา 135.00 บาท
MOLAX Suspension 30 ml (SIAM),ราคา 46.00 บาท
VIN DROP 15 ml (PATAR),ราคา 19.00 บาท
ZECID 20 mg 10X10's (KASPA),ราคา 78.00 บาท
KLOBECORT MILKY Lotion 10 g (MEDMAKER),ราคา 40.00 บาท
SMOOTH E WHITE Serum 12 g,ราคา 270.00 บาท
HIRUSCAR SILICONE PRO 4 g (Medinova),ราคา 218.00 บาท
U-SPA 200 mg 10X10's (SPS),ราคา 330.00 บาท
CINNARIZINE 1000's (TO),ราคา 198.00 บาท
