รหัสสินค้า,ชื่อสินค้า,ราคา (ดิบ)
5978,ยาดมสมุนไพร ตราหงส์สุวรรณ สูตร 2,ราคา 299.00 บาท
5925,ETORICOXIB 120 mg 1X10's (Ultimed),ราคา 97.00 บาท
5928,ยาหม่องเขียว ทองทรงไทย 30 g,ราคา 84.00 บาท
5929,CETAPHIL 236 ml,ราคา 285.00 บาท
5930,NEXCARE MICROPORE (1 inch x 10 yds) 1 ม้วน 3M,ราคา 69.00 บาท
5931,TERUMO SYRINGE 1 ml (31G x 3/8 inch) 100 ชิ้น/กล่อง,ราคา 315.00 บาท
5932,VISTRA IMU-PRO BIO VITAMIN C 30's,ราคา 175.00 บาท
5933,PROVAMED SPOT CORRECTOR Cream 25 g,ราคา 310.00 บาท
5934,PROVAMED VITAMIN E FACIAL Serum 50 g,ราคา 126.00 บาท
5935,PROVAMED S ULTRA ZONE Cream 10 g,ราคา 133.00 บาท
5936,AROTIKA COOL Spray 60 ml (BKD),ราคา 99.00 บาท
5937,ยาหม่องโอสถสีขาว ตราแม่กุหลาบ 100 g,ราคา 44.00 บาท
5938,ใบมะขามแขก ขาวละออ 100's (KLO),ราคา 84.00 บาท
5939,ลูกอมสมุนไพร ตราเสือดาว รสน้ำผึ้งมะนาว 12X10's/กล่อง,ราคา 215.00 บาท
5940,LYBALIN 75 mg 8X7's/กล่อง (BIOPHARM),ราคา 560.00 บาท
5941,MOXILIN 250 DRY Syrup 60 ml กลิ่นสตรอเบอร์รี่ (42),ราคา 0.00 บาท
5942,CELCOX 200 mg 1X10's (FRX),ราคา 0.00 บาท
5943,POLAR INNOCENCE Spray 80 ml (T.MAN),ราคา 70.00 บาท
5944,GLIZIDE 5 mg 100X15's (Pharmahof),ราคา 0.00 บาท
5945,NEOTICA COOL Gel 60 g (TNP),ราคา 66.00 บาท
5946,FEBUXOSTAT 80 mg 3X10's (SANDOZ),"ราคา 1,480.00 บาท"
5947,UE COF อม ยู อี คอฟ กลิ่นเสาวรส (20X20's),ราคา 425.00 บาท
5948,BRONGO KIDS Syrup 40 ml,ราคา 95.00 บาท
5949,NOX Spray 3X60 ml/แพ็ก (T.MAN),ราคา 231.00 บาท
5951,APIXABAN 5 mg 60's (SANDOZ),"ราคา 1,913.00 บาท"
5977,NSS 0.9% SODIUM CHLORIDE FOR INJECTION 20X5X3ml (TNP),ราคา 425.00 บาท
5976,EIDAR 3X10's (SPS),ราคา 288.00 บาท
5975,NEXCARE TRANSPORE เทปแต่งแผลชนิดใส (1/2 inch x 5 yds) 6 ม้วน/กล่อง - 3M,ราคา 0.00 บาท
5974,ยาพิมเสนน้ำตราวังว่าน 8 g,ราคา 27.00 บาท
5973,ยาหม่องตราวังว่าน 100 g,ราคา 157.00 บาท
5972,ยาหม่องตราวังว่าน 30 g,ราคา 63.00 บาท
5971,ยาน้ำมันตราวังว่าน 55 ml,ราคา 115.00 บาท
5970,ยาน้ำมันตราวังว่าน 3 ml,ราคา 21.00 บาท
5969,CANDINOX Vaginal Tablets 100 mg 6's (CBLAB),ราคา 23.00 บาท
5968,FUNGINOX SOLUTION Spray 60 ml,ราคา 235.00 บาท
5963,BOSNUM 180 mg 10X10's (UNISON),ราคา 508.00 บาท
