รหัสสินค้า,ชื่อสินค้า,  ราคา  
2-369,0.01 BACTIGRAS แบคทิแกร็ส 10CM ก.10แผ่น (ก.10แผ่น), 176.00 
2017/10,0.01 CLARET ASTAXANTHIN PLUS 4mg (แดง-ทอง) 30s (ขวด), 119.75 
2017/3,0.01 CLARET FOLIC AICD (แดง) 60s (ขวด), 98.75 
2017/6,0.01 CLARET GINKGO (เขียว) 30s (ขวด) (ขวด), 109.00 
2017/5,0.01 CLARET LUTEIN&ZEAXANTHIN (เหลือง) 30s (ขวด), 122.00 
2017/9,0.01 CLARET MAGNESIUM PLUS (เขียว-ฟ้า) 45s (ขวด), 99.50 
2017/7,0.01 CLARET MTV28 (ม่วง) 30s (ขวด) (ขวด), 110.00 
4333/5,0.01 Clavico-228 DRY [KRESS] (ก.1ขวด), 105.00 
4308/2,0.01 CoolPad เด็ก 5x12ซม 55บ ชมพู คูลแพด [ก.2แผ่น] **ราคาพิเศษ** (ก.2แผ่น), 20.00 
3858/9,0.01 DACIN-F 300mg 10x10s เม็ดสีม่วง (ก.10แผง), 310.00 
3818/19,0.01 DERMO DACYN ECZEMA CARE GEL 15g (ก.1หลอด), 328.00 
3818/18,0.01 DERMO DACYN GEL 60ml เจลเรียกเนื้อ (ก.1ขวด), 449.00 
2-627/13,0.01 EL มะละกอดั้งเดิม (มะละกออบแห้งเป็นชิ้น) ขวดใหญ่ 50g (ขวด), 16.25 
4270/4,0.01 exp08/26 กาแฟ ยาใจ 15gx15s **ขายขาด ราคาพิเศษ (ถุง), 50.00 
3827/5,0.01 HCG cassette ตรวจตั้งครรภ์ (หยด) มีโปรซื้อเยอะ (ก.1ชุด), 8.70 
3827/6,0.01 HCG midstream ตรวจตั้งครรภ์ (ฉี่ผ่าน) สีชมพู มีโปรซื้อเยอะ (ก.1ชุด), 17.00 
2140/12,0.01 LYSINE PLUS COLOSTRUM เม็ดเคี้ยว 430mg 24x7s (ก.24ซอง), 580.00 
3450/3,0.01 MANCLAMINE 1000 1x10s (ก.1แผง), 91.50 
1305/2,0.01 MOXICAP 500mg 10x10s (เม็ดฟ้า-เทา) ยูนีซัน มีโปรซื้อเยอะ (ก.10แผง), 91.50 
2159/4,0.01 POLAR SPRAY 280ml ฝาฟ้า 2ขวด แถม POLAR SPRAY INNOCENCE 80ml 1ขวด (แพค), 420.00 
8133/2,0.01 RHINO LOTION SPRAY 4ml แรด ไรโน โลชั่น สีเขียว (ก.1ขวด), 47.00 
2335/7,0.01 SEWA AGE-WHITE SERUM 8mlx6ซอง **ขายขาด (ก.6ซอง), 255.00 
2335/8,0.01 SEWA ROSE WHITENING DAY CREAM SPF 50+ PA++++ 8mlx6ซอง **ขายขาด (ก.6ซอง), 233.00 
9993/8,0.01 SKINTER GUARD insect block deet 50 70ml (ขวด), 125.00 
9993/9,0.01 SKINTER GUARD insect block deet 95 70ml (ขวด), 163.00 
3895/4,0.01 SMOOTH E SUN ACNE OIL CONTROL SPF 50+ 30g กันแดด (ก.1ขวด), 469.00 
3895/3,0.01 SMOOTH E SUN WHITE SPOT CLEAR SPF 50+ 30g กันแดด (ก.1ขวด), 469.00 
3895/2,0.01 SMOOTH E SUN WRINKLE ANTI SPOT SPF 50+ 30g กันแดด (ก.1ขวด), 469.00 
655/9,0.01 SMOOTH LIFE BIO C 600mg 15s รสส้ม มีโปรซื้อเยอะ (หลอด), 59.00 
511,0.01 STUD สตุด (ยาทน) (ขวด), 267.00 
1316/8,0.01 TEMPRA COOLING PATCH 8x1x2s (ก.8ซอง), 163.00 
3900/9,0.01 UMBILI NURISHING ROSE BALM 5g ลิปมัน/บำรุงหัวนมแตก (ก.1แท่ง), 51.00 
3900/8,0.01 UMBILI ORGANIC OIL CREAM แท่งพกพา 5g (ก.1แท่ง), 51.00 
1922/8,0.01 UMBILI อัมบิลี่ ชิ่วชิ่ว สติกเกอร์กันยุง หายใจโล่ง 1x10s กลิ่น geranium สีชมพู (ก.10ซอง), 56.00 
3002/16,0.01 U-R TUSS 50x10s เม็ดกลมเขียว (ก.50แผง), 409.00 
132402/14,0.01 เครื่องวัดความดัน NOVAMED หน้าจอLED digital รุ่นAES-U392 สายรัด22ถึง42cm ประกัน5ปี (เครื่อง), 475.00 
2374/10,0.01 พลาสเตอร์ ซอง10ชิ้น Flexie [TIGERPLAST] ไทเกอร์พลาส (ซอง10แผ่น) (ซอง10ชิ้น), 12.25 
2374/15,0.01 พลาสเตอร์ ซอง4ชิ้นx10ซอง Flexie [TIGERPLAST] ไทเกอร์พลาส (ซอง4แผ่น) (ก.10ซอง), 78.00 
16700/11,0.01 ยาดมสมุนไพร เฮงเฮง 5g (ขวด), 20.50 
3907/21,0.1 HANDY HERB gummy 6x1x4s รสราสเบอร์รี่ (ASTAXANTHIN 6mg) (ก.6ซอง), 169.00 
3907/20,0.1 HANDY HERB gummy 6x1x4s รสสตอเบอร์รี่ (Gluta+VitC) (ก.6ซอง), 169.00 
2967/1,0.5 x10yds RHINOTAPE SPORT TAPE 1x24roll (กระบอก), 432.00 
1734/6,0.5 x10yds SPORT TAPE 1x1s [SOS] (ก.1ม้วน), 17.00 
2-441/3,0.5นิ้ว*10หลา Tigerplast Caripore Clear tape (NEOPORE) (ก.1ม้วน) (ก.1ม้วน), 17.75 
13294/4,0.5นิ้วx10หลา 24ม้วน Transpore TR1 SOS PLUS เทปแต่งแผลชนิดใส (ก.24ม้วน), 271.00 
2967/2,0.5นิ้วx10หลา BIO SPORT TAPE แบบรุพรุน (กระบอก24ม้วน) (กระบอก), 357.00 
15197,0.5นิ้วx10หลา PR เยื่อกระดาษ 10ม้วน กล่องน้ำเงิน SOS PLUS เทปแต่งแผล (ก.10ม้วน), 109.50 
4004/1,0.5นิ้วx10หลา Rhinopore เทปแปะผ้าก๊อซใส (ก.24ม้วน) (ก.24ม้วน), 387.00 
1735/7,0.5นิ้วx10หลา Rhinotape Porous White มีกล่อง (ก.12ม้วน) (ก.12ม้วน), 310.00 
1735/8,0.5นิ้วx10หลา Rhinotape สีน้ำตาล Porous Brown มีกล่อง (ก.12ม้วน), 310.00 
2-441/6,0.5นิ้วx10หลา Tigerplast Caripore paper แพค12ม้วน (micropore) (ก.1ม้วน) (ก.1ม้วน), 19.00 
13294/6,0.5นิ้วx10หลา TR1 10ม้วน ก.แดง SOS PLUS เทปแต่งแผลชนิดใส (ก.10ม้วน), 112.50 
2-98/6,0.5นิ้วx1.5หลา Rhinopore เทปแปะผ้าก๊อซใส (ก.24ม้วน), 136.00 
2-98/5,0.5นิ้วx2.5หลา Rhinopore เทปแปะผ้าก๊อซใส (ก.12ม้วน), 82.00 
2-98/7,0.5นิ้วx5หลา Rhinopore เทปแปะผ้าก๊อซใส (ก.12ม้วน) (ก.12ม้วน), 149.00 
2-441/4,0.5นิ้วx5หลา แพค12ม้วนTigerplast Caripore Clear tape (NEOPORE) (แพค) (ก.1ม้วน), 13.50 
13294/10,10cmx10m TIGERPLAST CARIFIX STRETCH แคริฟิกซ์ สเตรช (ก.1ม้วน), 268.50 
13295/2,10cmx1m SOS PU ROLL แผ่นฟิล์มใสกันน้ำ (ก.1ม้วน), 93.00 
13294/2,10cmx1m SOS TAPE ROLL R8 เทปผ้าแต่งแผล carifix (ก.1ม้วน), 25.50 
13294,10cmx1m TIGERPLAST CARIFIX STRETCH แคริฟิกซ์ สเตรช (ก.1ม้วน), 34.50 
13295,10cmx1m TIGERPLAST CARIFIX WATERPROOF ชนิดฟิล์มใสกันน้ำ แคริฟิกซ์ สเตรช (ก.1ม้วน), 89.00 
