รหัสสินค้า,ชื่อสินค้า, ราคา 
2-369,0.01 BACTIGRAS แบคทิแกร็ส 10CM ก.10แผ่น, 176.00 
2017/10,0.01 CLARET ASTAXANTHIN PLUS 6mg (แดง-ทอง) 30s, 119.75 
2017/1,0.01 CLARET CALCIUM L-Threonate (ส้ม) 30s, 112.00 
2017/17,0.01 CLARET DATE PALM GLUTAMINE ช่วยนอนหลับ คลายเครียด (ม่วง) 30s, 99.50 
2017/11,0.01 CLARET FISH OIL SOFT GEL 1200mg (ฟ้า-ทอง) 30s, 95.00 
2017/3,0.01 CLARET FOLIC AICD (แดง) 60s, 98.75 
2017/6,0.01 CLARET GINKGO (เขียว) 30s (ขวด), 109.00 
2017/2,0.01 CLARET L-GLUTATHIONE (ชมพู) 30s, 119.00 
2017/5,0.01 CLARET LUTEIN&ZEAXANTHIN (เหลือง) 30s, 122.00 
2017/9,0.01 CLARET MAGNESIUM PLUS (เขียว-ฟ้า) 45s, 99.50 
2017/7,0.01 CLARET MTV28 (ม่วง) 30s (ขวด), 110.00 
2017/8,0.01 CLARET VITAMIN B PLUS (น้ำเงิน-ทอง) 60s, 108.00 
2017/4,0.01 CLARET ZINC PLUS (เงิน-เขียว) 45s, 105.00 
4308/2,0.01 CoolPad เด็ก 5x12ซม 55บ ชมพู คูลแพด [ก.2แผ่น] **ราคาพิเศษ**, 20.00 
3858/9,0.01 DACIN-F 300mg 10x10s เม็ดสีม่วง, 310.00 
3818/19,0.01 DERMO DACYN ECZEMA CARE GEL 15g, 328.00 
3818/18,0.01 DERMO DACYN GEL 60ml เจลเรียกเนื้อ, 449.00 
2-627/13,0.01 EL บ๊วยมะละกอดั้งเดิม (มะละกออบแห้งเป็นชิ้น) ขวดใหญ่ 50g, 16.25 
4270/4,0.01 exp08/26 กาแฟ ยาใจ 15gx15s **ขายขาด ราคาพิเศษ, 50.00 
3827/5,0.01 HCG cassette ตรวจตั้งครรภ์ (หยด) มีโปรซื้อเยอะ, 8.70 
3827/6,0.01 HCG midstream ตรวจตั้งครรภ์ (ฉี่ผ่าน) สีชมพู มีโปรซื้อเยอะ, 17.00 
2140/12,0.01 LYSINE PLUS COLOSTRUM เม็ดเคี้ยว 430mg 24x7s, 565.00 
3450/3,0.01 MANCLAMINE 1000 1x10s, 91.50 
1305/2,0.01 MOXICAP 500mg 10x10s (เม็ดฟ้า-เทา) ยูนีซัน มีโปรซื้อเยอะ, 91.50 
8133/2,0.01 RHINO LOTION SPRAY 4ml แรด ไรโน โลชั่น สีเขียว, 51.00 
2335/7,0.01 SEWA AGE-WHITE SERUM 8mlx6ซอง **ขายขาด, 255.00 
2335/8,0.01 SEWA ROSE WHITENING DAY CREAM SPF 50+ PA++++ 8mlx6ซอง **ขายขาด, 233.00 
9993/8,0.01 SKINTER GUARD insect block deet 50 70ml, 125.00 
9993/9,0.01 SKINTER GUARD insect block deet 95 70ml, 163.00 
3895/4,0.01 SMOOTH E SUN ACNE OIL CONTROL SPF 50+ 30g กันแดด, 469.00 
3895/3,0.01 SMOOTH E SUN WHITE SPOT CLEAR SPF 50+ 30g กันแดด, 469.00 
3895/2,0.01 SMOOTH E SUN WRINKLE ANTI SPOT SPF 50+ 30g กันแดด, 469.00 
655/9,0.01 SMOOTH LIFE BIO C 600mg 15s รสส้ม มีโปรซื้อเยอะ, 59.00 
511,0.01 STUD สตุด (ยาทน), 267.00 
3900/9,0.01 UMBILI NURISHING ROSE BALM 5g ลิปมัน/บำรุงหัวนมแตก, 51.00 
3900/8,0.01 UMBILI ORGANIC OIL CREAM แท่งพกพา 5g, 51.00 
1922/8,0.01 UMBILI อัมบิลี่ ชิ่วชิ่ว สติกเกอร์กันยุง หายใจโล่ง 1x10s กลิ่น geranium สีชมพู, 56.00 
3002/16,0.01 U-R TUSS 50x10s เม็ดกลมเขียว, 409.00 
132402/14,0.01 เครื่องวัดความดัน NOVAMED หน้าจอLED digital รุ่นAES-U392 สายรัด22ถึง42cm ประกัน5ปี, 475.00 
