ชื่อสินค้า (และรายละเอียด),ราคา
ACCU-CHEK GUIDE 25'S(แผ่นตรวจ)/กล่อง *P,฿438
ACCU-CHEK INSTANT 25'S แผ่นตรวจ *P,฿428
AERIUS ORAL SOLUTION 60ML.(SUGARFREE) *P,฿202
ALINAMIN EX PLUS 120'S (TAKEDA) *P,฿603
ALINAMIN EX PLUS 60'S (TAKEDA) *P,฿404
ALLERNIX 1x10'S(LORATADINE) *P,฿34
ALLERNIX SYRUP 60ML(LORATADINE) *P,฿41
AMOGIN-GEL 240ML(MILLIMED) 4โหล/ลัง *P,฿36
3M MICROPORE 1/2นิ้วx10หลาx24ม้วน/แพ็ค(ขาว),฿23.25
3M MICROPORE 1/2นิ้วx5.5x12ม้วน/แพ็ค(ขาว),฿19.5
3M MICROPORE 1นิ้วX10หลาX12'S/แพ็ค(ขาว),฿47
3M MICROPORE 1นิ้วx10หลาx12ม้วน/แพ็ค(มีแท่นตัด),฿49
3M MICROPORE 1นิ้วx10หลาx12ม้วน/แพ็ค.(สีเนื้อ),฿42.75
3M MICROPORE 1นิ้วx5.5หลาx6ม้วน/แพ็ค(ขาว),฿39
3M TRANSPORE 1/2นิ้วx10หลาx24'S/แพ็ค,฿22.75
3M TRANSPORE 1นิ้วx10หลาx12'S/แพ็ค,฿43.25
3M COLDHOT THERAPY HAPPY KID PACK 2'S,฿189
3M INTERDENTAL BRUSH 3'S(1.0MM)ด้ามงอ,฿132.5
3M MICROPORE 1นิ้วx10หลาx12ม้วน/แพ็ค(มีแท่นตัด),฿49
3M MICROPORE 1นิ้วx10หลาx12ม้วน/แพ็ค.(สีเนื้อ),฿42.75
3M โคแบน เทปพันยืดหยุ่น 2นิ้วx5หลาx1ม้วน(สีเนื้อ),"฿99,999"
3M ไหมขัดฟันมีด้ามFINE SLIDE FLOSSER 30'S,฿35.5
3M.TEGADERM 10x12CM.3ชิ้น/BX.(A2),฿63.5
4 MIX OIL 30'S(สุภาพโอสถ),฿143.5
3M TRANSPORE 1/2นิ้วx5หลาx12ม้วน/แพ็ค,฿201
3M แผ่นซับสิว สีชมพู 12ชิ้น(กลม),฿54.75
AMBES 10MG(AMLOPINE) 10x10'S(GPO),฿97
AMBES 5MG(AMLOPINE) 10x10'S(GPO),฿57
ANTACIL 50x10's (TNP),฿484
AZYCIN 250 MG(AZITHRO) 6'S(GPO),฿70
B-100 COMPLEX (B3-B1-B2-B6)50x1ML(TP.),฿227
BELCID FORTE SUSP 240ML.20ขวด/ลัง,฿34
ARTRODAR DIACEREIN 50MG.30'S/BX.(TRB) *P,฿511
BAIN SYRUP 150ML. *P,฿134
BENZAC AC GEL 2.5% 15G(BENZYL PEROXIDE) *P,฿106.75
BENZAC AC GEL 2.5% 60G (BENZOYL) *P,฿264
BENZAC AC GEL 5% 15G (BENZOYL) *P,฿115.5
BENZAC AC GEL 5% 60G (BENZOYL) *P,฿288
BENZAC PUTIFYING FOAM CLEANSER 130ML. *P,฿332.5
BIOGAIA CHEWABLE 10'S(PROBIOTICS)ABBOTT *P,฿322
3M MICROPORE 1/2นิ้วx10หลาx24ม้วน/แพ็ค(ขาว),฿23.25
3M MICROPORE 1/2นิ้วx5.5x12ม้วน/แพ็ค(ขาว),฿19.5
3M MICROPORE 1นิ้วX10หลาX12'S/แพ็ค(ขาว),฿47
3M MICROPORE 1นิ้วx10หลาx12ม้วน/แพ็ค(มีแท่นตัด),฿49
3M MICROPORE 1นิ้วx10หลาx12ม้วน/แพ็ค.(สีเนื้อ),฿42.75
3M MICROPORE 1นิ้วx5.5หลาx6ม้วน/แพ็ค(ขาว),฿39
3M TRANSPORE 1/2นิ้วx10หลาx24'S/แพ็ค,฿22.75
3M TRANSPORE 1นิ้วx10หลาx12'S/แพ็ค,฿43.25
3M COLDHOT THERAPY HAPPY KID PACK 2'S,฿189
3M INTERDENTAL BRUSH 3'S(1.0MM)ด้ามงอ,฿132.5
3M MICROPORE 1นิ้วx10หลาx12ม้วน/แพ็ค(มีแท่นตัด),฿49
3M MICROPORE 1นิ้วx10หลาx12ม้วน/แพ็ค.(สีเนื้อ),฿42.75
3M โคแบน เทปพันยืดหยุ่น 2นิ้วx5หลาx1ม้วน(สีเนื้อ),"฿99,999"
3M ไหมขัดฟันมีด้ามFINE SLIDE FLOSSER 30'S,฿35.5
3M.TEGADERM 10x12CM.3ชิ้น/BX.(A2),฿63.5
4 MIX OIL 30'S(สุภาพโอสถ),฿143.5
3M TRANSPORE 1/2นิ้วx5หลาx12ม้วน/แพ็ค,฿201
3M แผ่นซับสิว สีชมพู 12ชิ้น(กลม),฿54.75
AMBES 10MG(AMLOPINE) 10x10'S(GPO),฿97
AMBES 5MG(AMLOPINE) 10x10'S(GPO),฿57
ANTACIL 50x10's (TNP),฿484
AZYCIN 250 MG(AZITHRO) 6'S(GPO),฿70
B-100 COMPLEX (B3-B1-B2-B6)50x1ML(TP.),฿227
BELCID FORTE SUSP 240ML.20ขวด/ลัง,฿34
BIOPHARM GUMMY CALCIUM 12ซอง/BX.(เล็ก) *P,฿185
BIOPHARM GUMMY CALCIUM 12ซอง/BX.(ใหญ่) *P,฿35.25
BIOPHARM GUMMY FISH OIL 12ซอง/BX.(เล็ก) *P,฿185
BIOPHARM GUMMY FISH OIL 12ซอง/BX.(ใหญ่) *P,฿35.25
BIOPHARM GUMMY MULTI VIT 12ซอง(เล็ก) *P,฿185
BIOPHARM GUMMY MULTI VIT 12ซอง/BX.(ใหญ่) EXP.04/26 *P,฿35.25
BIOPHARM GUMMY VIT C 12ซอง/BX.(เล็ก) *P,฿185
BIOPHARM GUMMY VIT C 12ซอง/BX.(ใหญ่) *P,฿35.25
3M MICROPORE 1/2นิ้วx10หลาx24ม้วน/แพ็ค(ขาว),฿23.25
3M MICROPORE 1/2นิ้วx5.5x12ม้วน/แพ็ค(ขาว),฿19.5
3M MICROPORE 1นิ้วX10หลาX12'S/แพ็ค(ขาว),฿47
3M MICROPORE 1นิ้วx10หลาx12ม้วน/แพ็ค(มีแท่นตัด),฿49
3M MICROPORE 1นิ้วx10หลาx12ม้วน/แพ็ค.(สีเนื้อ),฿42.75
3M MICROPORE 1นิ้วx5.5หลาx6ม้วน/แพ็ค(ขาว),฿39
3M TRANSPORE 1/2นิ้วx10หลาx24'S/แพ็ค,฿22.75
3M TRANSPORE 1นิ้วx10หลาx12'S/แพ็ค,฿43.25
3M COLDHOT THERAPY HAPPY KID PACK 2'S,฿189
3M INTERDENTAL BRUSH 3'S(1.0MM)ด้ามงอ,฿132.5
3M MICROPORE 1นิ้วx10หลาx12ม้วน/แพ็ค(มีแท่นตัด),฿49
3M MICROPORE 1นิ้วx10หลาx12ม้วน/แพ็ค.(สีเนื้อ),฿42.75
3M โคแบน เทปพันยืดหยุ่น 2นิ้วx5หลาx1ม้วน(สีเนื้อ),"฿99,999"
3M ไหมขัดฟันมีด้ามFINE SLIDE FLOSSER 30'S,฿35.5
3M.TEGADERM 10x12CM.3ชิ้น/BX.(A2),฿63.5
4 MIX OIL 30'S(สุภาพโอสถ),฿143.5
3M TRANSPORE 1/2นิ้วx5หลาx12ม้วน/แพ็ค,฿201
3M แผ่นซับสิว สีชมพู 12ชิ้น(กลม),฿54.75
AMBES 10MG(AMLOPINE) 10x10'S(GPO),฿97
AMBES 5MG(AMLOPINE) 10x10'S(GPO),฿57
ANTACIL 50x10's (TNP),฿484
AZYCIN 250 MG(AZITHRO) 6'S(GPO),฿70
