รหัสสินค้า,ชื่อสินค้า,ราคา
51111086544,3M 8210 หน้ากาก N95 ป้องกันฝุ่นPM2.5 (แพ็ค20ชิ้น),42
8.8503E+12,3M CARBON EARLOOP 1'S,16
7.07388E+11,3M CAVILON CREAM 28G.(3M),251
1.00707E+14,3M CAVILON SKIN CLEANSER 236ML,461.5
8.8503E+12,"3M COBAN 1""x5YD น้ำตาล",51.75
8.8503E+12,"3M COBAN 3""x5YD น้ำตาล",82.5
5.90266E+12,3M COLDHOT THERAPY HAPPY KID PACK 2'S,189
3.88503E+13,3M FABRIC BD 10'Sx30ซอง/BX.(พลาสเตอร์ผ้า),198.5
4.71037E+12,3M INTERDENTAL BRUSH 3'S(0.7MM)ด้ามงอ,132.5
4.71037E+12,3M INTERDENTAL BRUSH 3'S(1.0MM)ด้ามงอ,132.5
4.71037E+12,3M INTERDENTAL BRUSH 3'S(1.0MM)ด้ามตรง,132.5
8.8503E+12,3M MICROPORE 1/2นิ้วx10หลาx24ม้วน/แพ็ค(ขาว),23.25
8.8503E+12,3M MICROPORE 1/2นิ้วx5.5x12ม้วน/แพ็ค(ขาว),19.5
8.8503E+12,3M MICROPORE 1นิ้วX10หลาX12'S/แพ็ค(ขาว),47
4.71037E+12,3M MICROPORE 1นิ้วx10หลาx12ม้วน/แพ็ค(มีแท่นตัด),49
4.71037E+12,3M MICROPORE 1นิ้วx10หลาx12ม้วน/แพ็ค.(สีเนื้อ),42.75
8.8503E+12,3M MICROPORE 1นิ้วx5.5หลาx6ม้วน/แพ็ค(ขาว),39
3.88503E+13,3M NEON PLASTIC สีสันสดใส 30ชิ้น/BX.,247.25
,3M NEXCARE ALCOHOL GEL 30ML,32
5.90266E+12,3M NEXCARE BANDAGES HAPPY KID 20'S,55.75
3.88503E+13,3M NEXCARE MAX HOLD 3ชิ้นx10ซอง/BX.,120.75
8.8503E+12,3M NEXCARE SOFT CLOTH 2นิ้วx5.5หลา,68.25
51131000223,3M NEXCARE ปิดตา (เล็ก)20'S/BX.,91.25
51131000230,3M NEXCARE ปิดตา (ใหญ่)20'S/BX.,135.75
8.8503E+12,3M NEXCARE พลาสเตอร์พลาสติกใสกันน้ำ25x72มม.50'S,105.5
3.88503E+13,3M PLASTIC CLEAR BD 10'Sx30ซอง/BX.(ใส),228
,3M PLASTIC TAN BD 10x30'Sซอง/BX.(สีเนื้อ),8
8.8503E+12,3M TEGADERM 2in1 6x10CM.(A4),44.75
8.8503E+12,3M TRANSPORE 1/2นิ้วx10หลาx24'S/แพ็ค,22.75
3.88503E+13,3M TRANSPORE 1/2นิ้วx5หลาx12ม้วน/แพ็ค,201
8.8503E+12,3M TRANSPORE 1นิ้วx10หลาx12'S/แพ็ค,43.25
8.80608E+12,3M แผ่นซับสิว สีชมพู 12ชิ้น(กลม),54.75
8.8503E+12,3M แผ่นซับสิว(รุ่นบางพิเศษ) 30'S สีฟ้า,85.5
8.8503E+12,3M แผ่นซับสิว(รุ่นบางพิเศษ)18'S(ส้ม),81.5
8.8503E+12,3M แผ่นฟิล์มใสกันน้ำ 6x7CM.5'S(F/S),32.25
8.8503E+12,3M แผ่นลดไข้ EXTRA COOL ผู้ใหญ่ 3'S/BX.,76.5
8.8503E+12,3M แผ่นลดไข้ MINI (POKEMON) 3'S/BX.,88.25
3.88503E+13,3M แผ่นลดไข้ MINI (POKEMON)1'Sx10ซอง/BX.,29.5
8.8503E+12,3M แผ่นลดไข้ เด็กเล็ก 3'S/BX.,24.5
8.8503E+12,3M โคแบน เทปพันยืดหยุ่น 2นิ้วx5หลาx1ม้วน(สีเนื้อ),67.5
8.8503E+12,3M โฟมอุดหูลดเสียง EARPLUGS 1คู่,14
4.71037E+12,3M ไหมขัดฟันมีด้ามFINE SLIDE FLOSSER 30'S,35.5
8.8503E+12,3M ผ้าปิดแผล 2IN1 6x8ซม.5'S/BX.(G21/S),38.5
8.8503E+12,3M สบู่เหลวล้างมือชนิดถุงเติม 250ML,30
8.80608E+12,3M หน้ากากกันฝุ่น PM2.5 1ชิ้น(กล่องละ5ชิ้น),38.75
8.88786E+12,3M หน้ากากป้องกันฝุ่น KN95 5ชิ้น/ซอง(สีขาว),83.5
8.88786E+12,3M หน้ากากป้องกันฝุ่น รุ่นKN95 1'S/กล่อง,22.75
8.8503E+12,3M หน้ากากอนามัย 50ชิ้น/กล่อง(สีเขียว),91.75
8.99281E+12,3M หน้ากากอนามัย3มิติ 3ชิ้น/ซอง(สีขาว),15
8.99281E+12,3M หน้ากากอนามัยเด็กทรง3มิติ 4ชิ้น/ซอง,16.75
8.99281E+12,3M หน้ากากอนามัยคาร์บอนทรง3มิติ 2ชิ้น/ซอง,12.75
8.8503E+12,"3M.COLD-HOT PAD 4x10""(M)",136.75
8.8503E+12,3M.COLD-HOT PAD MAXI (L),262
8.8503E+12,3M.COLD-HOT PAD MINI (S),72
8.8503E+12,3M.TEGADERM 10x12CM.3ชิ้น/BX.(A2),63.5
8.8503E+12,3M.TEGADERM 6x7CM.3ชิ้น/BX.(A1),31
8.8503E+12,3Mแผ่นฟิล์มใสกันน้ำ2IN1 6x7CM.3'S(F21/S),29.25
8.85896E+12,4 MIX OIL 30'S(สุภาพโอสถ),143.5
8.85946E+12,7V FIBER(ดีท็อก) 15G.x7'S/BX.(ตราเอลล่า),124.5
8.8546E+12,8 VITA WITH LYSINE KIDS 60ML.(PHARMAHOF),30.5
8.85229E+12,A.C.V 5x5'S/BX.(ACYCLOVIR 200MG.),96
8.85229E+12,A.C.V.CREAM 10'Sx1G.ACYCLOVIR)GREATER,61
8.85347E+12,A.M.MOX 500MG.50x10'Sฟ้า-เขียวMACRO,440
,ABBOTT กระเป๋าใส่เหรียญลายกุหลาบ(PRO),0
8.85712E+12,A-BERRY 30'S(EVERFAME),372
8.85886E+12,A-B-WORM 2'S (ALBENDAZOLE 200MG.),8
4.01563E+12,ACCU-CHEK ACTIVE แผ่นตรวจ 25'S/กล่อง,428
4.01563E+12,ACCU-CHEK FASTCLIX 24'Sเข็ม(GUIDE),87
4.01563E+12,ACCU-CHEK GUIDE 25'S(แผ่นตรวจ)/กล่อง *P,438
8.85905E+12,ACCU-CHEK GUIDE 25'Sx2แพ็คคู่(แผ่นตรวจ),797.25
4.01563E+12,ACCU-CHEK INSTANT 25'S แผ่นตรวจ *P,428
8.85905E+12,ACCU-CHEK INSTANT 25'S แผ่นตรวจ(แพ็คคู่),778
4.01563E+12,ACCU-CHEK PERFORMA (ROCHE)เครื่อง,2117
8.85905E+12,ACCU-CHEK PERFORMA 25'Sx2แพ็คคู่(แผ่นตรวจ),855.75
4.01563E+12,ACCU-CHEK SAFE-T-PRO (เข็มsingle use) 200'S,760
4.01563E+12,ACCU-CHEK ปากกา(SOFTCLIX),535.25
8.85926E+12,"ACCUFAST ATK 4in1(FLU A/B, RSV, COVID)NASAL",52.75
8.85926E+12,ACCUFAST FLU A/B & RSV TEST 1'S/BX.(NASAL),46
8.85589E+12,ACDEFY ACNE GEL 10G.(SALICYLIC+TEA TREE OIL),86.75
6.97055E+12,ACE+MED DIGITAL THERMOMETER MDT 201,85
6.97204E+12,ACE+MED INFRARED THERMOMETER MDI 231,1260
7.50364E+11,ACEROLA CHERRY PLUS 30'S(THP),225
8.85406E+12,ACETATE RINGER 1000ML.(ACETAR) ANB.,44.25
8.85281E+12,ACETIN 100MG.50'S/BX L.B.S(สูตรNACLONG),116.75
8.85281E+12,ACETIN 200MG. 5G.x50'S L.B.S(สูตรNACLONG),163.25
8.85281E+12,ACEVAX 400MG. 10x10'S(ACICLOVIR)L.B.S,352
8.90603E+12,ACINET 1000MG.10'Sx5แผง/แพ็ค(AUGMENTIN),431.25
8.85712E+12,ACNA-Z 30'S(EVERFAME),339.5
9.31406E+12,ACNE-AID ANTI-ACNE SPORT GEL 10G.,123
9.31406E+12,ACNE-AID BAR.100กรัม,164.5
9.31406E+12,ACNE-AID FOAMING OIL CONTROL 100ML(แดง),140
9.31406E+12,ACNE-AID GEL CLEANSER SESN.100ML(สีฟ้า),129.25
9.31406E+12,ACNE-AID GENTLE CLEANSER 100ML.(สีฟ้า),141.5
9.31406E+12,ACNE-AID LIQ.สีแดง 50CC.,90.5
9.31406E+12,ACNE-AID LIQ.สีฟ้า500CC.(ขวดปั๊ม),435
9.31406E+12,ACNE-AID LIQUID (สีแดง) 500ML(ขวดปั๊ม),435
9.31406E+12,ACNE-AID LIQUID (สีแดง) 900ML(ขวดปั๊ม),645.5
9.31406E+12,ACNE-AID LIQUID CLEANSER 100CC.(สีแดง),141.5
9.31406E+12,ACNE-AID LIQUID สีแดง 100MLx2ขวด(แพ็คคู่),246
9.31406E+12,ACNE-AID MICELLAR WALER SESN. 235ML(สีฟ้า),181
9.31406E+12,ACNE-AID MOISTURISING OIL CONTROL 30ML.,253
8.85335E+12,ACNETIN-A 0.025 10G.(สูตรRETIN-A),39.75
8.85335E+12,ACNETIN-A 0.05 10G.(สูตรRETIN-A),43.5
8.85314E+12,ACNOCIN C 300MG.10x10'S/BX.(CLINDA)ชุมชน,342.5
8.85024E+12,ACTAVIA SPRAY 10ML.(สูตรOTRIVIN)SPS,71.75
8.85712E+12,ACTEWOUND 7x15CM.1'S./กล่อง,284.75
8.85924E+12,ACTEWOUND CLEAR 7x15CM.1'S./กล่อง,284.75
8.85924E+12,ACTEWOUND SI UV SILICONE GEL 10G.,99999
8.85712E+12,ACTEWOUND Si.7G.,206
8.85924E+12,ACTEWOUND SILICONE GEL SHEET 2.5x100CM./ม้วน,352.5
8.85924E+12,ACTEWOUND SILICONE GEL SHEET 4x15CM.(1ชิ้น),169.5
8.85924E+12,ACTEWOUND SILICONE GEL SHEET 4x6CM.(2ชิ้น),136.5
8.8592E+12,ACTOS 15MG.30'S(PIOGLITAZONE)TAKEDA,1395
8.85298E+12,ACYVIR 400 10x10'S(ACYCLOVIR)CPL.,200.75
8.90405E+12,ACZEE-50 Gel 5% 20G.(สูตร Benzac),54
8.90405E+12,ACZEEGEL 2.5% 20GM.(สูตรBenzac),47.75
8.85387E+12,ADRENALINE 50x1ML(ATC)*ขายยกกล่อง,314
8.40165E+11,AERIUS 5MG 10'S/BX,251.5
8.40165E+11,AERIUS ORAL SOLUTION 60ML.(SUGARFREE),202
8.85109E+12,AEROBIDOL INHALER 200 (สูตรBERODUAL),204.75
8.85109E+12,AERONIDE 200MCG(BUDESONIDE)AERO,207
8.85109E+12,AEROTAMOL 100MCG(สูตรVENTOLINพ่น),95.5
8.85109E+12,AEROTIDE 25/250 120DOSE (สูตร SERETIDE),458
8.85109E+12,AEROTIDE EVO.25/125 INHALER (สูตรSERETIDE),227
8.85945E+12,AIRROX 10x10'S(SIMETHICONE 80MG.),85.5
